pos,last_pos,change,url,name,country,points,best6,team,team points,westerley points,best,race count,win count,2nd count,3rd count
210,191,▼,https://rgtdb.com/user/47528,Greg Greasley,,38,38,,0,0,63,1,0,0,0
210,191,▼,https://rgtdb.com/user/164522,Andrew Rimmington,,38,38,,0,0,63,1,0,0,0
215,195,▼,https://rgtdb.com/user/222269,Tom Wendland,,37,37,,0,0,64,1,0,0,0
216,,*,https://rgtdb.com/user/210138,Lars-ola Westerlund,,36,36,,0,0,65,1,0,0,0
217,197,▼,https://rgtdb.com/user/51825,Marc Arc fawcett,,35,35,,0,0,66,1,0,0,0
217,197,▼,https://rgtdb.com/user/263153,Karen  Bailey (l),,35,35,,0,0,66,1,0,0,0
217,197,▼,https://rgtdb.com/user/132921,Iain Davidson ,UK,35,35,,0,0,66,1,0,0,0
217,197,▼,https://rgtdb.com/user/65012,Dave Morrison,UK,35,35,,0,16,66,1,0,0,0
221,202,▼,https://rgtdb.com/user/76452,Phil Dolphin b,,34,34,,0,0,67,1,0,0,0
221,202,▼,https://rgtdb.com/user/264487,Enzo  Misuraca,,34,34,,0,0,67,1,0,0,0
223,205,▼,https://rgtdb.com/user/280682,Nick Pinxten,,33,33,,0,0,68,1,0,0,0
223,205,▼,https://rgtdb.com/user/157828,Lucien Mertens,,33,33,,0,0,68,1,0,0,0
223,205,▼,https://rgtdb.com/user/166447,Dermot Doyle (f),,33,33,,0,0,68,1,0,0,0
223,,*,https://rgtdb.com/user/298731,Alexandre Coustenoble,,33,33,,0,0,68,1,0,0,0
223,205,▼,https://rgtdb.com/user/266215,Alessio Ghera,,33,33,,0,0,68,1,0,0,0
228,209,▼,https://rgtdb.com/user/56101,Tim Wood (bc),,32,32,,0,0,69,1,0,0,0
228,,*,https://rgtdb.com/user/176883,Jan Meeusen,,32,32,,0,0,69,1,0,0,0
230,210,▼,https://rgtdb.com/user/169714,Gregor  Hasert ,,31,31,,0,0,70,1,0,0,0
230,210,▼,https://rgtdb.com/user/280039,Crisco Lord,,31,31,,0,0,70,1,0,0,0
232,212,▼,https://rgtdb.com/user/3964,Lorna Rowland ,,30,30,TWICKENHAM CC LADIES,30,0,71,1,0,0,0
232,212,▼,https://rgtdb.com/user/94990,Danie  Steyn sanz,South Africa,30,30,,0,0,71,1,0,0,0
232,212,▼,https://rgtdb.com/user/243217,Arthur Boniver,,30,30,,0,0,71,1,0,0,0
235,215,▼,https://rgtdb.com/user/170946,Maik Schlien,,29,29,,0,0,72,1,0,0,0
235,215,▼,https://rgtdb.com/user/29010,Callum Carruthers,,29,29,,0,0,72,1,0,0,0
237,217,▼,https://rgtdb.com/user/252028,Ml Icetrikesuk,,28,28,,0,0,73,1,0,0,0
237,217,▼,https://rgtdb.com/user/278269,Joanne Maltby,,28,28,,0,0,73,1,0,0,0
237,,*,https://rgtdb.com/user/242409,Ant Nt b,,28,28,,0,0,73,1,0,0,0
240,219,▼,https://rgtdb.com/user/186220,Jay Te,,27,27,,0,0,74,1,0,0,0
241,,*,https://rgtdb.com/user/288803,Robg Robg,,26,26,,0,0,75,1,0,0,0
241,220,▼,https://rgtdb.com/user/226054,Jeff Peeters,,26,26,,0,0,75,1,0,0,0
241,245,▲,https://rgtdb.com/user/270667,Gri Pulga,,26,26,,0,0,76,2,0,0,0
244,221,▼,https://rgtdb.com/user/6387,Richard Green,,25,25,,0,0,76,1,0,0,0
244,221,▼,https://rgtdb.com/user/225725,Marek Kruszynski,,25,25,,0,0,76,1,0,0,0
244,221,▼,https://rgtdb.com/user/78831,Bruno Carrasco,,25,25,,0,0,76,1,0,0,0
247,224,▼,https://rgtdb.com/user/270055,Szymon Koczet,,24,24,,0,0,77,1,0,0,0
247,244,▼,https://rgtdb.com/user/289203,Rick Van der laan,,24,24,,0,0,80,2,0,0,0
247,224,▼,https://rgtdb.com/user/270044,Pepelu Pepeluso,,24,24,,0,0,77,1,0,0,0
