pos,last_pos,change,url,name,country,points,best6,team,team points,westerley points,best,race count,win count,2nd count,3rd count
53,46,▼,https://rgtdb.com/user/97222,Paulo Almeida,Portugal,119,119,,0,0,36,2,0,0,0
54,63,▲,https://rgtdb.com/user/221770,Rafael Nunez,,117,117,,0,0,65,4,0,0,0
55,101,▲,https://rgtdb.com/user/127383,Tom Birch (b),,116,116,,0,0,36,2,0,0,0
56,89,▲,https://rgtdb.com/user/189383,Richard Howell,,112,112,,0,0,39,2,0,0,0
57,79,▲,https://rgtdb.com/user/101319,Martin Wilson,UK,111,111,,0,0,59,3,0,0,0
58,81,▲,https://rgtdb.com/user/128814,Tim Cummins,UK,111,111,WESTERLEY ONE,80,50,58,3,0,0,0
59,99,▲,https://rgtdb.com/user/254293,Philip Procter wlc,,108,108,,0,0,45,2,0,0,0
60,116,▲,https://rgtdb.com/user/249688,Pat Herron,UK,108,108,,0,0,35,2,0,0,0
61,47,▼,https://rgtdb.com/user/225601,Rasmus  Feldballe(m),Danmark,97,97,,0,0,4,1,0,0,0
62,48,▼,https://rgtdb.com/user/131274,Jan Deca [яʀ],Belgium,96,96,RASIO RACING,96,0,5,1,0,0,0
63,49,▼,https://rgtdb.com/user/186271,David Kent (d),,95,95,,0,0,51,2,0,0,0
64,50,▼,https://rgtdb.com/user/167006,Mike Murray c,UK,95,95,,0,0,38,2,0,0,0
65,51,▼,https://rgtdb.com/user/54380,Chris Morgan,,94,94,,0,0,7,1,0,0,0
66,53,▼,https://rgtdb.com/user/37884,Will Stone [tlr],,93,93,,0,0,8,1,0,0,0
67,54,▼,https://rgtdb.com/user/182809,Robert Jenko,,93,93,,0,0,8,1,0,0,0
68,55,▼,https://rgtdb.com/user/159472,Daniel  Schoch [ṀṚ],,92,92,MOON RIDERS 2,92,0,9,1,0,0,0
69,56,▼,https://rgtdb.com/user/186405,Jesper Verhoeven,,90,90,,0,0,11,1,0,0,0
70,,*,https://rgtdb.com/user/113120,John Beames [pdl],,90,90,,0,0,11,1,0,0,0
71,57,▼,https://rgtdb.com/user/69166,Ian Nguru,Kenya,89,89,WESTERLEY ONE,48,35,53,2,0,0,0
72,58,▼,https://rgtdb.com/user/129842,Steven Brierley,,89,89,,0,0,12,1,0,0,0
73,59,▼,https://rgtdb.com/user/134810,Jonathan Crain,,86,86,,0,0,15,1,0,0,0
74,60,▼,https://rgtdb.com/user/140233,Antoine Renou,,86,86,,0,0,15,1,0,0,0
75,,*,https://rgtdb.com/user/278294,Enot Racoon,,84,84,,0,0,17,1,0,0,0
76,,*,https://rgtdb.com/user/254894,King Ing.  :-) 3r,,83,83,,0,0,18,1,0,0,0
77,,*,https://rgtdb.com/user/178108,Greg Barnett(o),,82,82,,0,0,19,1,0,0,0
78,64,▼,https://rgtdb.com/user/234347,Kurt nørum Pedersen (m),,80,80,,0,0,21,1,0,0,0
79,125,▲,https://rgtdb.com/user/222863,La A.terrehaute,,80,80,,0,0,55,2,0,0,0
80,65,▼,https://rgtdb.com/user/194499,Kristof Keszthelyi-k,Hungary,79,79,,0,0,61,2,0,0,0
